No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
4464,TRUE VINE ACCORD INC,NAKASONGOLA DISTRICT NAKASONGOLA TOWN COUNCIL WABBAALE VILLAGE,NAKASONGOLA,TO PROMOTE EVANGELISM AND ESTABLISHING AND MANAGING EDUCATIONAL AND VOCATIONAL I,INDR84263658NB,INDP79613658NB
4465,TRUE VINE AGRICULTURAL CHRISTIAN ASSOCIATION,"KAMPALA; PLOT 10 BUKOTO CRESENT, NAGURU P.O. BOX 11338 KAMPALA",KAMPALA,PROMOTING AGRICULTURE FOR THE PURPOSE OF PROVIDING FOOD,INDR154534613NB,INDP0004613NB
4466,TRUE VINE CHRISTIAN MINISTRIES INTERNATIONAL,MUKONO MUNICIPALITY; NTAAWO WARD; MUKONO INDUSTRIAL AREA; P.O. BOX 270 MUKONO,MUKONO,EVANGELISM; UPHOLIDNG MORALS AND ENGAGING IN BIBLICAL DOCTRINE; REHABILITATION A,INDR5916119NB,INDP5515119NB
4467,TRUE VINE TEAM MINISTRIES,TORORO; BUSIA ROAD P.O. BOX 972 TORORO,COUNTRYWIDE,PROMOTING INCOME GENERATING ACTIVITIES FOR OVCS; EMPOWERING COMMUNITIES AND EVAN,INDR42662639NB,INDP39922639NB
4468,TRUST A GIRL AFRICA,"LIRA, SOROTI ROAD NEXT TO OM SUPERMARKET; P.O. BOX 861 LIRA",LIRA,TO PROMOTE SKILLS MANAGEMENT AND EMPOWERING THE UNEDUCATED GIRL CHILD AND ADVOCA,INDR145312318NB,INDP0002318NB
4469,TRUST FOR WIDOWS AND ORPHANS,"PLOT 12, MALCOLM X AVENUE, KOLOLO. P. O BOX 16350, KAMPALA",COUNTRYWIDE,"TO IMPROVE AGRICULTURE, FOOD SECURITY, ENVIRONMENTAL PROTECTION AND EDUCATION",INDR93972324NB,INDP89202324NB
4470,TRUTH CHRISTIAN MINISTRIES,"NTUNGAMO DISTRICT, P.O. BOX 244, NTUNGAMO",NTUNGAMO,TO EVANGELISE AND PLANT CHURCHES,,
4471,TRUTH EVANGELISTIC FOUNTAIN MINSTRIES INC,"LIRA; ALOI ROAD OPPOSITE RAILWAYS PRIMARY SCHOOL, CENTRAL DIVISION LIRA MUNICIPA",COUNTRYWIDE,EVANGELISM AND PROJECTS FOR THE UNDERPRIVILIGED; BIBLE SCHOOLS AND MEDICAL CENT,INDR39191966NB,INDP37551966NB
4472,TUA UGANDA,"NWOYA DISTRICT, ANAKA TOWN COUNCIL MARKET STREET P.O. BOX 1587, GULU",NWOYA,TO PROMOTE SUSTAINABLE AGRICULTURE AND ENTERPRENUERSHIP EDUCATION,INDR118842375NB,INDP115282374NB
4473,TUBAYAMBE CHILD CARE DEVELOPMENT CENTRE,MAKINDYE LUWAFU ROAD,KAMPALA,TO PROVIDE FINANCIAL ASSISTANCE TO THE NEEDY,INDR126483130NB,INDP123483130NB
4474,TUF AGENCY FOR INTERNATIONAL DEVELOPMENT,,,,INDR115673797NB,INDP111063797NB
4475,"TUFTS GLOBAL, INC.","EMBASSY PLAZA, GGABA ROAD, KAMPALA",NIL,"TO PROMOTE EDUCATIONAL , SCIENTIFIC AND CHARITABLE ACTIVITIES",INTR143782494NB,INTP0002494NB
4476,TUGENDE TOGETHER UGANDA,IBAAKO VILLAGE IN NEWLY CREATED BUGWERI DISTRICT,BUGWERI,TO ADVOCATE ON BEHALF OF YOUTH AND CHILDREN,INDR144103390NB,INDP0003390NB
4477,TUJIFUNZA UGANDA,KAMPALA; BLOCK 244 PLOT 5151 MAJID MUSISI CLOSE; BOX 21372 KAMPALA,KAMPALA,"TRAINING TEACHERS AND PLACEMENT, IMPROVING LEARNING OUTCOMES",INDR122933097NB,INDP119863097NB
4478,TUJJE MINISTRIES,MAYUGE; MAGAMAGA TRADING CENTRE WAIRASA SUBCOUNTY; MARKET ZONE ALONG IGANGA HIGH,"MAYUGE, IGANGA, BUSIA, TORORO, BUTALEJA, JINJA",PROVIDING FORMAL EDUCATION AND VOCATIONAL TRAINING; ESTABLISHING AND SUPPORTING,INDR126142481NB,INDP122982481NB
4479,TUKOLERE WAMU PROJECT,"MBALE; NAMASABA I VILLAGE, NAKALOKE PARISH NAMSABA SC; P.O. BOX 2480 MBALE","MBALE, KIBUKU, KAGADI AND LUWERO",IMPROVING LIVES OF LESS PRIVILEDGED YOUTHS AND THEIR FAMILIES; INCOME PORJECTS;,INDR141171667NB,INDP0001667NB
4480,TUKORE INVALIDS SALVATION STREAM ASSOCIATION,MBARARA; TUKORE 7 MILES MBARARA RD; KARAMA I CELL; RWAKISHAKIZI WARD; NYAKAYOJO,"MBARARA, ISINGIRO, NTUNGAMO, IBANDA, RUBIRIZI, SHEEMA, MITOOMA, BUHWEJU AND BUSH",SOCIAL AND ECONOMIC WELFARE OF THE DISABLED; HEALTH CARE AND EDUCATION AND INCOM,INDR653905NB,INDP687905NB
4481,TUKUUMA COMPANY,KAMPALA;SAYUUNI COMPLEX NTINDA KISAASI RD,KAMPALA,"TO PROMOTE ENVIROMENTAL CONSERVATION,CAPACITY BUILDING,SENSITISATION WASTE MANAG",INDR157724960NB,INDP0004960NB
4482,TUMAINI INITIATIVE UGANDA,,MUKONO,,INDR134111003NB,INDP131511003NB
4483,TUMOR SUVIOURS' ASSOCIATION - UGANDA,,,,INDR150743885NB,INDP0003885NB
4484,TUMWEBAZE COVENANT MINISTRIES,WAKISO; LUFUKKA WARD NDEJJE CENTRAL; P.O. BOX 22157 KAMPALA,WAKISO,"EVANGELISM, INTEGRATED COMMUNTIY HEALTH CARE, INCOME GENERATING ACTIVITIES",INDR157464857NB,INDP0004857NB
4485,TUNAWEZA CHILDREN'S CENTRE,"KAMPALA; KIWATULE,PAPAYA RISE,PLOT 1211, P.O.BOX 1900 KAMPALA",KAMPALA,"PROVIDES CHILDREN WITH SPECIAL NEEDS ACCESS TO THERAPY, SPECIALIZED EDUCATION AN",INDR155964653NB,INDP0004653NB
4486,TUNAWEZA FOUNDATION,"KAMPALA; PLOT 702 BLOCK 14 NAJJANANKUMBI MASANYALZE ZONE, MAKINDYE; P.O. BOX 366",COUNTRYWIDE,FORMAL AND VOCATIONAL TRAINING SUPPORT; LIVELIHHOD AND SKILLS TRAINING; BROADCAS,INDR143641875NB,INDP0001875NB
4487,TURGET UGANDA,"NAMIREMBE RESOURCE CENTRE, PLOT 279 WILLIS ROAD, FLAT 2, P.O. BOX 35774, KAMPALA",KAMPALA,"TO PROVIDE INFORMATION, EDUCATION AND COMMUNICATION",INDR114533459NB,INDP111473459NB
4488,TURIHAMWE EMPOWERMENT & ADVOCACY,KAKUMIRO; KISIITA TOWN COUNCIL AMAZON HOUSE MPASANA NAKWEYO RWEMIRAMA ROAD; P.O.,KAKUMIRO,"HUMAN RIGHTS ADVOCACY, SEXUAL AND REPRODUCTIVE HEALTH EDUCATION, SKILLS DEVELOPM",INDR146062401NB,INDP0002401NB
4489,TURKISH UGANDA HUMANITARIAN FOUNDATION,KAMPALA; MAKINDYE I KATALE ZONE MAKINDYE DIVISION WEST KATALE; P.O. BOX 71350 KA,COUNTRYWIDE,"PROVIDE QUALITY EDUCATION, GOOD HEALTH AND SANITATION; INCOME GENERATING ACTIVIT",FORR145362466NB,FORP0002466NB
4490,TURN AROUND MINISTRIES INTERNATIONAL,"KAMPALA; KELEZIA ZONE, MAKINDYE 2 PARISH,MAKINDYE DIVISION.",KAMPALA,"TO PREACH LOVE,PROMOTE LIVELIHOODS,PROVIDE RELIEF FOR THE NEEDY,SHELTER FOR THE",FORR121344795NB,FORP118414795NB
4491,TURNING POINT RESOLUTIONS,"MUKONO; GONGOBE ZONE, PLOT 2238 OFF BAJJO RD; BOX 68 SEETA",MUKONO,TO TRAIN IN BASIC AGRICULTURE,INDR130642921NB,INDP128312921NB
4492,TURUGA FOUNDATION,"KAMPALA; UPPER LAKE SIDE ZONE, MAKINDYE URBAN COUNCIL-KISUGU",COUNTRYWIDE,EUDCATION PROGRAMMES AND FOOD AID TO THE NEEDY AND INDIGENT; ACADEMIC GATHERINGS,FORR140251317NB,FORP0001317NB
4493,TUSIMYE WOMEN'S MINISTRY,"BUIKWE;PO BOX 612 JINJA,REPUBLIC STREET PLOT 1 NJERU MUNICIPALITY .",BUIKWE,TO PROVIDE AMONTHLY SUPPORT TO WOMEN TO WOMEN TO SUSTAIN THEIR FAMILIES,INDR121314958NB,INDP117434958NB
4494,TUSITUKIREWAMU GROUP BWAISE,"BWAISE,KATOOGO ZONE,KAWEMPE DIVISION,KAMPALA",COUNTRYWIDE,CONTRIBUTION OF HEALTH SERVICES ESSPECIALLY ON HIV/AIDS AND SEXUAL REPRODUCTIVE,INDR154764515NB,INDDP0004515NB
4495,TUUNDE VULNERABLE RIGHTS CONCERN (U),KAMPALA; KIGOOWA RD BUKOTO 11 NTINDA NAKAWA; BOX 22441 KAMPALA,KAMPALA,TO DEVELOP WORKERS,INDR121065344NB,INDP120445344NB
4496,TWAHI FOUNDATION(TF),MUBENDE; NABINGOOLA KASAMBYA; P.O. BOX 300 MUBENDE,MUBENDE,"TO ASSIST ORPHANS, WIDOWS, VULNERABLE PEOPLE, OFFERING EDUCATION TO CHILDREN AND",FORR97514134NB,FORP92704134NB
4497,TWAHIRAH ISLAMIC CHARITY ORGANISATION,WAKISO; PLOT 716 GAYAZA-KIJABIJJO; P.O. BOX 33070 KAMPALA,WAKISO,"CONTRIBUTE TO THE WELFARE OF UNDER PRIVILEGED CHILDREN,YOUTH,WOMEN,DISABLED AND",INDR157054848NB,INDP0004848NB
4498,TWEGASSE ELDERLY GROUP,KAMPALA; KANYANYA ALONG GAYAZA ROAD 4 KM KAMPALA-GAYAZA ROAD; P.O. BOX 26904 KAM,COUNTRYWIDE,CATERING FOR THE WELFARE OF THE ELDERLY; PROMOTE COOPERATION AND ADULT LITERACY;,INDR48791376NB,INDP46141376NB
4499,TWEKEMBE DEVELOPMENT ASSOCIATION,KAMPALA; KIGGAGA ZONE LCI NATEETE PARISH LUBAGA DIVISION,KAMPALA,"PROMOTE COMMUNTY DEVELOPMENT, PSYCHSOCIAL SUPPORT AND INCOME GENERATING ACTIVITI",INDR151093947NB,INDPP0003947NB
4500,TWEKONYERE FOUNDATION UGANDA,HOIMA;.BOX 342 HOIMA,HOIMA,"TO PROMOTE AFRICAN YOUTH LEADERSHIP,GOOD HEALTH AND WELL BEING,STRONG NETWORK OF",INDR157374945NB,INDPOOO4945NB
4501,TWENTY FORTY DEVELOPMENT PLAN ENHANCEMENT INITIATI,P.O BOX 94 HOIMA,,CARRYING OUT RESEARCH ON SOCIAL ECONOMIC PROBLEMS AND SKILL DEVELOPMENT,INDR13518282NB,INDP000282NB
4502,TWEYANZE DEVELOPMENT AGENCY,LUWERO; P.O. BOX 36 WOBULENZI,"LUWERO,NAKASEKE, NAKASONGOLA AND WAKISO","SOCIO-ECONOMIC DEVELOPMENT, POVERTY ALLEVIATION; UNITY COOPERATION AND CULTURAL",INDR16661403NB,INDP15411403NB
4503,TWIN,"KIZUNGU LANE, MAKINDYE DIVISION, KAMPALA DISTRICT, P.O. BOX KAMPALA",COUNTRYWIDE,TO PROMOTE TRADE,,
4504,TWO HANDS FOUNDATION UGANDA,KAMPALA; BOX 9989 WANDEGEYA,KAMPALA,RESEARCH ANSD BASIC NEEDS PROVISION TO THE VULNERABLES,INDR158685030NB,INDP0005030NB
4505,TWO HANDS ONE LIFE,,COUNTRYWIDE,"CAPACITY BUILDING, EMPOWERING THE YOUTH WITH SKILLS AND HEALTH",INDR13600336NB,INDP000336NB
4506,TWO ROADS FOUNDATION,KABALE; PLOT 04 JACKSON RD CENTRAL MAKANGA GOLF CELL CENTRAL WARD; P.O. BOX 782,KABALE,TO PROMOTE EVANGELISM,INT143702197NB,INTP0002197NB
4507,TWOGERE COMMUNITY INITIATIVES,"KAMPALA, MENTAL HEALTH UNIT MULAGO HOSPITAL. P.O BOX 23156, KAMPALA",COUNTRYWIDE,"TO OFFER KNOWLEDGE BASED PSYCHO-SOCIAL THERAPY, OFFER COUNSELING SERVICES, CONDU",INDR163675680NB,INDP0005680NB
4508,TYSON FOUNDATION,"RAKAI, KABALA VILLAGE, KIFAMBA SUB COUNTY, KAKUUTO COUNTY","RAKAI, MASAKA","TO INFORM, EDUCATE, EMPOWER THE CITIZENS OF UGANDA, TRAIN THE NEEDY IN THE USE O",INDR164045699NB,INDP0005699NB
4509,UBABA UGANDA FOUNDATION,,,,INDR151614028NB,INDP0004028NB
4510,UBUNTU AID,"NWOYA; PLOT 42 OLWIYO RD ALONG GULU-ARUA RD, ANAKA T/COUNCIL; P.O. BOX 16 GULU",NWOYA,"TO IMPROVE ACCESS TO EDUCATION, LIVELIHOOD AND WELL BEING AMONG VULNERABLES",INDR162445532NB,INDP0005532NB
4511,UBUNTU AID LIMITED,"9002002, JINJA CITY",NWOYA,TO IMPROVE ACCESS TO EDUCATION AND PROMOTE SUSTAINABLE LIVELIDOOD AND WELLBEING,INDP0005532NB,INDR162445532NB
4512,UBUNTU COMMUNITY EMPOWERMENT FOUNDATION,KISORO; BUNAGANA RD KISORO MUNICIPALITY;,KISORO,"PROMOTING COMMUNITY WELFARE, EMPOWERMENT OF WOMEN AND OTHER VULNERABLE PEOPLE, P",INDR13559405NB,INDP000405NB
4513,UBUNTU HEALTH INITIATIVE,"LYANTONDE; P.O BOX 05 LYANTONDE,KYABAZARA VILLAGE,KILOWOOZA PARISH",LYANTONDE,"TO PROMOTE VOCATIONAL SKILLS,LIVELIHOOD AND COMMUNITY HEALTH",INDR158445086NB,INDP0005086NB
4514,UBUNTU LAW AND JUSTICE CENTRE,KAMPALA; MAKINDYE DIVISIONPLOT 2407 BLOCK 224 KIWAFU RISE KANSANGA; BOX 33939 KA,KAMPALA,"PROMOTE AND ADVOCATE FOR HOLISTIC ACCESS TO JUSTICE, PROBONO, RESEARCH",INDR157714917NB,INDP0004917NB
4515,UDAAN AFRICA FOUNDATION,"KAMPALA, PLOT 51, SUWARA ROAD -NAGURU GODOWN,KAMPALA CITY","KAMPALA, WAKISO, MUKONO","TO DO COMMUNITY SERVICE, SANITATION PROGRAMS, GIVE THE NEEDFY PEOPLE BASIC NEEDS",FORR164345691NB,FORP0005691NB
4516,UGANDA - INDONESIA FRIENDSHIP ASSOCIATION,WAKISO; BULENGA-SSUMBWE; P.O. BOX 23018 KAMPALA,WAKISO,FACILITATE TECHNOLOGICAL TRANSFER;FOOD SECURITY AND SUSUTAINABLE AGRICULTURE; PR,INDR13814953NB,INDP000953NB
4517,UGANDA RURAL DEVELOPMENT AND TRAINING PROGRAMME,KAGADI DISTRICT,COUNTRYWIDE,"TO PROMOTE VILLAGE LEVEL PROJECTS TO IMPROVE ON FOOD PRODUCTION,HEALTH NUTITION",INDR302221NB,INDP32221NB
4518,UGANDA ADVOCACY FOR HUMAN RIGHTS AND LEGAL AID CON,KAMPALA; PLOT 4 PILKINGTON ROAD KIIRA HOUSE; P.O. BOX 8648 KAMPALA,COUNTRYWIDE,"PROMOTING HUMAN RIGHTS ADVOCACY; PROVIDE LEGAL AID SERVICES, CONFLICT RESOLUTION",INDR80891419NB,INDP76181419NB
4519,UGANDA AGENCY FOR DEVELOPMENT,,,,INDR12362704NB,INDP12070704NB
4520,UGANDA AGRICULTURE TEACHERS' ORGANISATION,"MUKONO; PLOT 53 BLOCK 530 , ROOM 182, VERONA HOUSE, JINJA ROAD;",MUKONO,TO IMPROVE THE ACADEMIC PERFORMANCE OF AGRICULTURE,INDR120073110NB,INDP116533110NB
4521,UGANDA ALBINOS ASSOCIATION,"KAMPALA DISTRICT, P.O. BOX 72485, SIR APOLLO KAGGWA KAMPALA",COUNTRYWIDE,"TO ADVOCATE FOR RIGHTS, FREEDOM, EDUCATION, HEALTH AND EMPLOYMENT OF THE ALIBINO",,
4522,UGANDA ALCOHOL POLICY ALLIANCE,"KAMPALA DISTRICT,PLOT46 RUBAGA ROAD NEAR RED CROSS HEADQUARTERS.",KAMPALA,TO PROVIDE A PLATFORM FOR INDIVIDUALS AND CIVIL SOCIETY TO INFLUENCE POLICIES,INDR150183690NB,INDP0003690NB
4523,UGANDA ASSOCIATION OF THE MENTALLY HANDICAPPED (UA,"KAMPALA; BLOCK 203,KAWEMPE DIVISION,5KM,BOMBO ROAD PLOT 2392; P.O.BOX 9177",KAMPALA,TO ADVOCATE FOR THE RIGHTS OF PEOPLE WITH DISABILITIES IN UGANDA.PROMOTE WELL BE,INDR3774814NB,INDP1904814NB
4524,UGANDA ASSOCIATION OF WOMEN LAWYERS,KAMPALA; PLOT 4 ROBERT MUGABE RD MBUYA OPP. ARMY BARRACKS FUELING STATION; BOX 2,KAMPALA,"LEGAL AID CLINIC AND EDUCATION, RESEARCH AND PUBLICATION",INDR8954564NB,INDP7084564NB
4525,UGANDA AUDIO VISUAL RIGHTS SOCIETY,"KAMPALA; RENOR CHAMBERS, NAMIREMBE-HOIMA ROAD; PLOT 273; P.O. BOX 6417 KAMPALA",COUNTRYWIDE,TO PROTECT AND PROMOTE THE RIGHTS AND INTERESTS OF AUDIO VISUAL RIGHTS HOLDERS;,INDR138111029NB,INDP0001029NB
4526,UGANDA BIOTECHNOLOGY AND BIOSAFETY CONSORTIUM,"KAMPALA; C/O UGANDA NATIONAL COUNCIL OF SCIENCE AND TECHNOLOGY, PLOT 6 KIMERA RD",KAMPALA,PROMOTING STAKEHOLDERS UNDERSTANDING OF BIOTECHNOLOGY AND BIOSAFETY; BIOTECHNOLO,INDR101881206NB,INDP97531206NB
4527,UGANDA BUDDHIST CENTRE,"WAKISO,ENTEBBE,GARUGA OFF ENTEBBE ROAD, P.O.BOX 898 ENTEBBE","WAKISO, KAMPALA","TO PROMOTE PROPAGATING THR TEACHING OF BUDDHISM , ESTABLISHING THE BUDDHIST REGI",INDR6259527NB,INDP5760527NB
4528,UGANDA CANCER RESEARCH FOUNDATION,,,,INDR13648688NB,INDP000688NB
4529,UGANDA CANCER SOCIETY,,,,INDR13211607NB,INDP12958607NB
4530,UGANDA CHANGE AGENT ASSOCIATION,"KAMPALA; PLOT 30, RASHID KHAMIS ROAD, P.O. BOX 2922, KAMPALA",KAMPALA,TO PROMOTE CHANGE INITIATIVES,INDR6463358NB,INDP4873358NB
4531,UGANDA CHILD CANCER FOUNDATION,"UPPER MULAGO ROAD, OLD MULAGO HOSPITAL",KAMPALA,TO SUPPORT CHILDREN WITH CANCER,INDR65662799NB,INDP60712799NB
4532,UGANDA CHILDCARE- DENMARK,"MASAKA DISTRICT, P.O. BOX 961, MASAKA",MASAKA,TO ASSIST NEEDY CHILDREN ATTAIN EDUCATION AND BASIC NEEDS,,
4533,UGANDA CHILDREN'S CENTRE,"PLOT 392 SALAAMA ROAD, DUBAI ZONE MAKINDYE II PARISH, MAKINDYE DIVISION",KAMPALA,TO PROMOTE AND PROTECT THE RIGHTS AND WELFARE OF ORPHANS AND OTHER VULNERABLE,INDR33862052NB,INDP31272052NB
4534,UGANDA CHINESE CHRISTIAN CHURCH,"KAMPALA; 4TH FLOOR CHICKEN HOUSE OLD KAMPALA; P.O. BOX 27686, KAMPALA",KAMPALA,"EVANGELISM, SUPPORT CHURCHES AND OUTREACHES",FORR112661191NB,FORP106751191NB
4535,UGANDA CHRISTIAN FELLOWSHIP MISSION,"SOROTI DISTRICT, P.O. BOX 503, SOROTI",COUNTRYWIDE,TO PREACH THE GOSPEL,,
4536,UGANDA CHRISTIAN INSTITUTE FOR ROFESSIONAL DEVELOP,LIRA; OPELO VILLAGE BOROBORO WEST PARISH ALONG SOROTI ROAD; P.O. BOX 791 LIRA,LIRA,EDUCATION AND CAPACITY BUILDING AND COMMUNITY EMPOWERMENT,INDR127934454NB,INDP124064454NB
4537,UGANDA CHRISTIAN LAWYERS FRATERNITY,KAMPALA; 1ST FLOOR PLOT 42 BOMBO ROAD WANDEGEYA-BAPTIST HOUSE; P.O. BOX 29375 K,COUNTRYWIDE,PROVIDING A FORUM FOR EXCHANGE ON LEGAL AND CHRISTIAN MATTERS AND PRINCIPLES; AD,INDR55361745NB,INDP51611745NB
4538,UGANDA CHRISTIAN MEDICAL FELLOWSHIP,KAMPALA; MENGO HOSPITAL; BOX 14020 KAMPALA,KAMPALA,TO PROMOTE EVANGELISM IN HOSPITALS AND SCHOOLS,INDR112083052NB,INDP106953052NB
4539,UGANDA CHRISTIAN OUTREACH MINISTRIES,"WAKISO; SEGUKU TOWN, 6 MILES ENTEBBE ROAD, MAKINDYE; P.O. BOX 10467 KAMPALA",COUNTRY WIDE,"TO SPREA EVANGELISM, BUILD HOPITALS,CLINICS,ORPHANAGES,SCHOOLS AND SELF HELP PRO",INDR106661NB,INDP163661NB
4540,UGANDA CHRISTIAN REVIVAL,"KAMULI DISTRICT,PLOT NO.1818 KAMULI ROAD &PLOT NO.2656 NAMUGONGO -NSAWO ZONE",COUNTRYWIDE,TO PROMOTE EVANGELISM AND TRAINING PROGRAMMES AND SELFHELP PROJECTS,INDR22952179NB,IND21822179NB
4541,UGANDA CITIZENS ALLIANCE,BUSHENYI; CENTRAL CELL ISHAKA MUNICIPALITY; P.O. BOX 209 BUSHENYI,COUNTRYWIDE,"ADVOCATING AND PROMOTING EQUAL LAND RIGHTS, LEGAL AID SERVICES; PEACE BUILDING,",INDR98191356NB,INDP93091356NB
4542,UGANDA CIVIL SOCIETY ALLIANCE AGAINST MALARIA,"WAKISO; NAALYA ESTATE, PLOT 601 BINAZI STREET",WAKISO,COORDINATE MALARIA CIVIL SOCIETY ORGANIZATIONS IN UGANDA,INDR155924690NB,INDP0004690NB
4543,UGANDA COALITION FOR SUSTAINABLE DEVELOPMENT,"1329 KYEYUNE ROAD, KABALAGALA",KAMPALA,TO SUPPORT PROCESSES OF DIALOGUE ON SUSTAINABLE DEVELOPMENT,INDR53453161NB,INDP49713161NB
4544,UGANDA COMMUNITY BASED ASSOCIATION FOR WOMEN AND C,"KAMPALA;ROBERT MUGABE ROAD,MBUYA ZONE 1,P.O BOX 7449",KAMPALA,TO ATTAIN IMPROVED WALFARE OF VULNERABLE WOMEN AND CHILDREN USING COMMUNITY BAS,INDR4434708NB,INDP2554708NB
4545,UGANDA COMMUNITY BASED HEALTH CARE ASSOCIATION,"WAKISO DISTRICT, P.O. BOX 325, ENTEBBE",COUNTRYWIDE,TO PROMOTE AND COORDINATE COMMUNITY BASED ORGANISATION,,
4546,UGANDA COMMUNITY TOURISM ASSOCIATION,"KAMPALA; GALAXY HOUSE BUKOTO PLOT 1732 NEXT TO NTINDA INFANTS SCHOOL, OLD KIRA R",COUNTRYWIDE,"COORDINATING, TRAINING AND NETWORKING AMONG LOCL COMMUNITIES IN THE TOURISM SEC",INDR26221238NB,INDP24321238NB
4547,UGANDA CONCERN FOR THE VULNERABLE,,,,INDR666913923NB,INDP61493923NB
4548,UGANDA CONSERVATION,KAMPALA; PLOT 17 PRINCESS ANNE DRIVE BUGOLOBI; P.O. BOX 34020 KAMAPALA,KAMPALA,SUPPORTING MANAGMENT OF WILDLIFE HABITANTS AND LIVELIHOOD PROVISION,,
4549,UGANDA COUNSELLING AND SUPPORT SERVICES,KAMPALA; PLOT 450 KALUNGU PARK LANE BUNGA; P.O. BOX 71405 KAMPALA,KAMPALA,"COUNSELLING SERVICES, CONSULTANCIES AND EVANGELISM",INDR90654315NB,INDP86054315NB
4550,UGANDA DEBT NETWORK,KAMPALA; PLOT 153/155 NTINDA RD; BOX 21509 KAMPALA,COUNTRYWIDE,"COMMUNITY SENSITIZATION, RESEARCH AND INFORMATION SERVICES",INDR21154893NB,INDP19684893NB
4551,UGANDA DEVELOPMENT AND HEALTH ASSOCIATION,"PLOT 7-11, BULAMU ROAD IGANGA MUNICIPALITY",IGANGA,TO ENHANCE HEALTH IN THE COMMUNITY,INDR58262810NB,INDP54812810NB
4552,UGANDA DEVELOPMENT SERVICES,KAMPALA; PLOT 215 MAWANDA ROAD KAMWOKYA; P.O. BOX 16423 KAMPALA,KAMPALA,"RELIEF, INFORMATION SERVICES AND INCOME GENERATING PROJECTS",INDR20134332NB,INDP19654332NB
4553,UGANDA DEVELOPMENT TRUST,"PLOT 73, KIRA ROAD KAMWOKYA, KAMPALA",KAMPALA,TO PROMOTE SELF HELP PROJECT,INDR37273076NB,INDP34753076NB
4554,UGANDA DIABETIC ASSOCIATION,KAMPALA PLOT 55B MARTIN RD OLD KAMPALA,COUNTRYWIDE,TO CREATE AWARENESS OF PEOPLE WITHDIABETES,INDR62142646NB,INDP56932646NB
4555,UGANDA DISABLED WOMEN'S ASSOCIATION,"WAKISO, KIRA MUNICIPALITY KAESA ROAD KAMULI, KIREKA",COUNTRYWIDE,"IN THE FIELD OF SMALL SCALE INDUSTRIES, EDUCATION AND TRAINING ADVOCACACY FOR DI",INDR9355867NB,INDP8175867NB
4556,UGANDA DISCHARGED PRISONERS AID SOCIETY,KAMPALA; LUZIRA STAGE SEVEN; P.O. BOX 28043 KAMPALA,KAMPALA,TO SENSITIZE THE PUBLIC ABOUT THE IMPORTANCE OF ACCEPTING AND SETTLING EX-PRISON,INDR151974119NB,INDP0004119NB
4557,UGANDA EMPOWERMENT MISSION,"KULAMBIRO;PLOT 1300,KULAMBIRO RING ROAD,KYANJA PARISH NAKAWA DIVISION KAMPALA",KAMPALA,"PROMOTING AND IMPROVING ACCESS TO HEALTH, EDUCATION, CAPACITY BUILDING TO TARGET",INDR127143973NB,INDP124723973NB
4558,UGANDA FEDERATION OF THE HARD OF HEARING,LUWERO; BUSIKA TOWN COUNCIL,LUWERO,OFFER HEARING LOSS SERVICESTO ALL PERSONS IN UGANDA,INDR155634635NB,INDP0004635NB
4559,UGANDA FISHERIES AND FISH CONSERVATION,"KAMPALA; KAMWOKYA OFF KIRA ROAD; PLOT 1601/1247, BIIKA HOUSE, 2ND FLOOR-SUITE NO",COUNTRYWIDE,FISHING INDUSTRY AND FISH PRODUCTION; CONCERVATION AND FISH PROTECTION,INDR10641042NB,INDP9261042NB
4560,UGANDA FOR HER INITIATIVE,KAMPALA; BALINTUMA ZONE KIWATULE NAKAWA DIVISION; P.O. BOX 12097 KAMPALA,COUNTRYWIDE,PROMOTING SEXUAL AND REPRODUCTIVE HEALTH; PROMOTING INCOME GENERATING FOR WOMEN;,INDR140391297NB,INDP0001297NB
4561,UGANDA GERMAN COMMUNITY CARE INITIATIVE LIMITED,P.O.BOX 900113,MBARARA,"TO ADDRESS ISSUES OF DOMESTIC VOILENCE AND SEXISM IN SOCIETY, PROMOTE WOMEN EMPO",FORR163825635NB,FORP0005635NB
4562,UGANDA GERMAN CULTURAL SOCIETY,"KAMPALA,PLOT 52 BUKOTO STREET KAMWOKYA",KAMPALA,"TO PROMOTE BILATERAL COOPERATION BETWEEN UGANDA,GERMANCULTURE.",FORR64873720NB,FORP60583720NB
4563,UGANDA GREEN CHARCOAL,,COUNTRYWIDE,,INDR114881061NB,INDP110141061NB
4564,UGANDA GREEN CRESCENT SOCIETY,KAMPALA;PO BOX 2773 WATUBA BOMBO RD 14 KM FROM KAMPALA,KAMPALA,TO FIGHT AGAINST PEPOLE WITH HAZARDOUS ADDICTION HABBITS,INDR123865162NB,INDP120915162NB
4565,UGANDA HANDS FOR HOPE,KAMPALA; MUYENGA PLOT 7184 KAYONGO RD MAKINDYE DIV; BOX 11319 KAMPALA,KAMPALA,"EDUCATION SUPPORT, IGAS, COMMUNITY EMPOWERMENT",FORR124125570NB,FORP121165570NB
4566,UGANDA HARM REDUCTION NETWORK,,,,INDR150983987NB,INDP0003987NB
4567,UGANDA HEALTH MARKETING GROUP,,,,INDR83654031NB,INDP90954031NB
